,input,input_type,values_type,size
185,"[49, 7, 38, 48, 7, 45, 37, 11, 28, 28, 29, 35, 34]",<class 'list'>,<class 'int'>,13
186,"[10, 17, 40, 34, 45, 33, 15, 46, 42, 18]",<class 'list'>,<class 'int'>,10
187,"[11, 32, 46, 14, 1, 33, 24]",<class 'list'>,<class 'int'>,7
188,"[26, 29, 18, 20, 44, 43, 24]",<class 'list'>,<class 'int'>,7
189,"[47, 42, 48, 14, 35, 26, 33, 22, 19, 21, 42]",<class 'list'>,<class 'int'>,11
190,"[45, 4, 43, 23, 10, 15, 7, 43, 10]",<class 'list'>,<class 'int'>,9
191,"[14, 7, 1, 16, 33, 45, 23, 42, 38]",<class 'list'>,<class 'int'>,9
192,"[5, 5, 27, 28, 9, 47]",<class 'list'>,<class 'int'>,6
193,"[32, 36, 11, 32]",<class 'list'>,<class 'int'>,4
194,"[14, 45, 17, 5, 25, 6, 25, 27, 32, 14, 13]",<class 'list'>,<class 'int'>,11
195,"[31, 3, 48, 30, 45, 13, 6]",<class 'list'>,<class 'int'>,7
196,"[38, 27, 26, 35, 43, 21, 21, 19, 20, 46]",<class 'list'>,<class 'int'>,10
197,"[47, 16, 30, 6, 43, 13, 35, 1, 12, 10, 13, 27, 35]",<class 'list'>,<class 'int'>,13
198,"[19, 43, 19, 47, 19, 33, 38, 31]",<class 'list'>,<class 'int'>,8
199,"[24, 11, 17, 1, 28, 26, 36, 8, 8, 2, 40, 31, 20]",<class 'list'>,<class 'int'>,13
200,"[7, 18, 6, 21, 4, 31, 39]",<class 'list'>,<class 'int'>,7
201,"[6, 43, 3, 13, 15, 48, 48, 32, 14, 8, 12, 20, 38]",<class 'list'>,<class 'int'>,13
202,"[4, 16, 43, 41, 31, 49, 22, 6, 38, 20, 10, 1, 6, 19]",<class 'list'>,<class 'int'>,14
203,"[5, 44, 23, 5, 40]",<class 'list'>,<class 'int'>,5
204,"[4, 45, 43, 49, 23]",<class 'list'>,<class 'int'>,5
205,"[27, 46, 33, 28, 23, 2, 49]",<class 'list'>,<class 'int'>,7
206,"[39, 19, 41, 39, 16, 38, 16, 40, 49, 29, 12]",<class 'list'>,<class 'int'>,11
207,"[19, 5, 42, 15, 35, 19, 2, 27, 36, 37, 12, 7, 45, 35]",<class 'list'>,<class 'int'>,14
208,"[42, 28, 43, 32, 34, 28]",<class 'list'>,<class 'int'>,6
209,"[39, 47, 25, 35, 34, 18, 47]",<class 'list'>,<class 'int'>,7
210,"[7, 33, 49, 31, 43, 18, 46, 48]",<class 'list'>,<class 'int'>,8
211,"[48, 29, 40, 48, 43, 14, 29, 41, 43, 43, 15, 33, 30, 30]",<class 'list'>,<class 'int'>,14
212,"[3, 41, 32, 30, 26, 11, 29, 49]",<class 'list'>,<class 'int'>,8
213,"[41, 24, 37, 6, 1, 16, 8]",<class 'list'>,<class 'int'>,7
214,"[33, 41, 8, 3, 4]",<class 'list'>,<class 'int'>,5
215,"[47, 36, 4, 5, 37, 17, 39, 42, 41, 16, 37, 24]",<class 'list'>,<class 'int'>,12
216,"[15, 35, 8]",<class 'list'>,<class 'int'>,3
217,"[38, 19, 36, 11, 12, 10, 28, 9, 46]",<class 'list'>,<class 'int'>,9
218,"[48, 11, 31, 6, 4, 32, 49, 27, 27, 48, 1, 12]",<class 'list'>,<class 'int'>,12
219,"[25, 23, 25]",<class 'list'>,<class 'int'>,3
220,"[45, 12, 6, 45, 7, 47, 22, 42, 21]",<class 'list'>,<class 'int'>,9
221,"[49, 48, 6, 49, 21, 12, 11, 33, 17, 47, 10]",<class 'list'>,<class 'int'>,11
222,"[15, 12, 28, 38, 39, 40, 20, 33, 22, 46, 6]",<class 'list'>,<class 'int'>,11
223,"[42, 25, 34, 1, 3, 35, 29, 12, 8, 44, 31, 1, 5]",<class 'list'>,<class 'int'>,13
224,"[10, 28, 7, 36, 29, 37, 24, 38, 22]",<class 'list'>,<class 'int'>,9
225,"[23, 34, 32, 28, 34, 37, 2, 38]",<class 'list'>,<class 'int'>,8
226,"[27, 38, 23, 26, 24, 39, 4, 1, 38, 3, 33]",<class 'list'>,<class 'int'>,11
227,"[14, 10, 15, 30, 14, 18, 40, 43, 10, 34, 46, 33, 6]",<class 'list'>,<class 'int'>,13
228,"[20, 38, 37, 12, 38, 49, 13, 31]",<class 'list'>,<class 'int'>,8
229,"[33, 35, 35, 31, 21, 8, 33, 34, 37, 43, 29]",<class 'list'>,<class 'int'>,11
230,"[42, 7, 41, 40, 36]",<class 'list'>,<class 'int'>,5
231,"[40, 17, 40]",<class 'list'>,<class 'int'>,3
232,"[39, 37, 41, 37, 43, 46, 30, 4, 1, 17, 17, 49]",<class 'list'>,<class 'int'>,12
233,"[34, 44, 25, 47, 27, 24, 45, 7, 37, 19, 32, 35, 3]",<class 'list'>,<class 'int'>,13
234,"[13, 39, 26, 16, 1, 14]",<class 'list'>,<class 'int'>,6
235,"[1, 15, 10, 24, 7]",<class 'list'>,<class 'int'>,5
236,"[13, 42, 26, 40, 11, 29]",<class 'list'>,<class 'int'>,6
237,"[40, 38, 39]",<class 'list'>,<class 'int'>,3
238,"[19, 24, 25]",<class 'list'>,<class 'int'>,3
239,"[29, 3, 3, 14, 4, 36, 17, 8, 36, 12, 5, 23, 16, 34]",<class 'list'>,<class 'int'>,14
240,"[30, 18, 6, 27, 23, 20, 1, 12, 45, 9]",<class 'list'>,<class 'int'>,10
241,"[48, 28, 8, 5, 21]",<class 'list'>,<class 'int'>,5
242,"[11, 32, 26, 1, 3, 6, 29, 41, 17, 22, 27, 34]",<class 'list'>,<class 'int'>,12
243,"[40, 36, 43, 3, 34]",<class 'list'>,<class 'int'>,5
244,"[30, 32, 27, 27, 20, 14, 28]",<class 'list'>,<class 'int'>,7
245,"[17, 34, 26, 26, 5, 30, 34, 45]",<class 'list'>,<class 'int'>,8
246,"[48, 27, 2, 12, 43, 7, 17, 16, 9, 26, 41, 45]",<class 'list'>,<class 'int'>,12
247,"[32, 47, 42, 42, 19, 29, 2, 17, 16, 20, 7, 17, 34]",<class 'list'>,<class 'int'>,13
248,"[44, 48, 12, 6, 12, 20]",<class 'list'>,<class 'int'>,6
249,"[30, 23, 25, 35, 47, 11, 16, 18]",<class 'list'>,<class 'int'>,8
250,"[10, 2, 12, 35]",<class 'list'>,<class 'int'>,4
251,"[18, 21, 25, 4, 37, 42, 21, 37, 17, 5]",<class 'list'>,<class 'int'>,10
252,"[28, 13, 14, 7, 33, 39]",<class 'list'>,<class 'int'>,6
253,"[42, 44, 23]",<class 'list'>,<class 'int'>,3
254,"[28, 25, 43, 46, 37, 31, 40, 29, 36, 2, 32, 11, 39]",<class 'list'>,<class 'int'>,13
255,"[38, 34, 1, 4, 7, 35, 40, 38, 26, 3]",<class 'list'>,<class 'int'>,10
256,"[45, 33, 11, 38, 13, 13, 10, 9, 3, 1, 7, 27, 39, 35]",<class 'list'>,<class 'int'>,14
257,"[16, 28, 25, 15]",<class 'list'>,<class 'int'>,4
258,"[25, 42, 7, 14, 26, 19, 34, 16, 26, 32, 9, 19, 30]",<class 'list'>,<class 'int'>,13
259,"[21, 19, 42, 6, 27, 27]",<class 'list'>,<class 'int'>,6
260,"[17, 34, 36]",<class 'list'>,<class 'int'>,3
261,"[26, 43, 36, 47, 18, 6, 25, 49]",<class 'list'>,<class 'int'>,8
262,"[38, 48, 21]",<class 'list'>,<class 'int'>,3
263,"[19, 7, 37, 7, 43, 46]",<class 'list'>,<class 'int'>,6
264,"[40, 28, 1, 12]",<class 'list'>,<class 'int'>,4
265,"[5, 23, 4, 2, 30, 19, 3, 34, 21, 35, 33]",<class 'list'>,<class 'int'>,11
266,"[11, 21, 13, 29, 46]",<class 'list'>,<class 'int'>,5
267,"[35, 7, 4, 49]",<class 'list'>,<class 'int'>,4
268,"[12, 31, 21, 36, 33, 24, 17, 29, 23, 7, 41, 22, 40, 10]",<class 'list'>,<class 'int'>,14
269,"[49, 4, 47, 22, 49, 1, 30]",<class 'list'>,<class 'int'>,7
270,"[49, 1, 26, 38, 15, 20, 41, 39, 39, 8, 5, 2, 7]",<class 'list'>,<class 'int'>,13
271,"[31, 19, 9]",<class 'list'>,<class 'int'>,3
272,"[12, 49, 30, 17, 21, 48, 49]",<class 'list'>,<class 'int'>,7
273,"[32, 28, 18, 41, 47, 47, 5]",<class 'list'>,<class 'int'>,7
274,"[9, 24, 30, 41, 1, 8, 8, 19]",<class 'list'>,<class 'int'>,8
275,"[18, 39, 41, 32, 12]",<class 'list'>,<class 'int'>,5
276,"[30, 33, 48, 14, 9, 40, 10]",<class 'list'>,<class 'int'>,7
277,"[5, 41, 42, 8, 26, 32, 25, 30, 36, 39, 20, 31, 41, 47]",<class 'list'>,<class 'int'>,14
278,"[23, 16, 21, 38]",<class 'list'>,<class 'int'>,4
279,"[49, 28, 19, 25, 7, 37, 46, 18, 6, 16, 47]",<class 'list'>,<class 'int'>,11
280,"[14, 23, 28, 2, 18, 8, 13, 42, 25, 17]",<class 'list'>,<class 'int'>,10
281,"[32, 30, 33, 4, 40, 40, 32, 48, 24, 18, 31, 3, 49, 24]",<class 'list'>,<class 'int'>,14
282,"[47, 13, 9, 41, 1, 1]",<class 'list'>,<class 'int'>,6
283,"[48, 13, 49, 26, 29, 29, 31, 36, 36, 19, 48, 48, 33]",<class 'list'>,<class 'int'>,13
284,"[31, 29, 19, 34, 17, 34, 47, 43, 40, 2, 48, 20, 42, 24]",<class 'list'>,<class 'int'>,14
285,"[4, 43, 48]",<class 'list'>,<class 'int'>,3
286,"[41, 28, 18, 34, 4, 34, 11, 14, 31, 11, 47, 14]",<class 'list'>,<class 'int'>,12
287,"[40, 6, 19, 35, 10, 4]",<class 'list'>,<class 'int'>,6
