,input,input_type,values_type,size
76,"[4, 7, 4, 4, 1, 5]",<class 'list'>,<class 'int'>,6
77,"[10, 9, 5]",<class 'list'>,<class 'int'>,3
78,"[14, 9, 14, 0, 5, 9, 7, 4, 6]",<class 'list'>,<class 'int'>,9
79,"[14, 5, 5, 0, 1, 1, 11, 5, 2, 6, 13, 4, 12]",<class 'list'>,<class 'int'>,13
80,"[7, 5, 0, 6, 8, 3]",<class 'list'>,<class 'int'>,6
81,"[11, 2, 5, 3, 4, 1, 14, 8, 11, 6, 4, 1]",<class 'list'>,<class 'int'>,12
82,"[10, 10, 3, 4, 13, 10, 6, 8, 1, 2, 11, 0]",<class 'list'>,<class 'int'>,12
83,"[12, 4, 3, 11, 0, 2, 7, 13]",<class 'list'>,<class 'int'>,8
84,"[12, 8, 5, 0, 8, 2, 13, 6, 14, 13, 8, 11, 1]",<class 'list'>,<class 'int'>,13
85,"[6, 12, 6, 9, 2, 14, 14, 11, 9]",<class 'list'>,<class 'int'>,9
86,"[5, 1, 4]",<class 'list'>,<class 'int'>,3
87,"[1, 4, 9, 11, 2, 13, 6, 2, 8, 1]",<class 'list'>,<class 'int'>,10
88,"[13, 5, 2]",<class 'list'>,<class 'int'>,3
89,"[6, 8, 14, 11]",<class 'list'>,<class 'int'>,4
90,"[11, 4, 9, 3, 10, 11]",<class 'list'>,<class 'int'>,6
91,"[11, 6, 9, 11, 5]",<class 'list'>,<class 'int'>,5
92,"[5, 2, 12, 3, 2, 14, 14, 5]",<class 'list'>,<class 'int'>,8
93,"[5, 14, 8, 4, 5, 9, 5, 14, 3, 3, 2, 0, 9, 7]",<class 'list'>,<class 'int'>,14
94,"[6, 10, 8]",<class 'list'>,<class 'int'>,3
95,"[7, 8, 10, 0, 5, 9]",<class 'list'>,<class 'int'>,6
96,"[8, 8, 11, 3, 12, 13, 8, 1, 8, 9, 13, 3]",<class 'list'>,<class 'int'>,12
97,"[3, 2, 8, 9, 7]",<class 'list'>,<class 'int'>,5
98,"[9, 12, 6, 9, 11, 11, 5]",<class 'list'>,<class 'int'>,7
99,"[11, 14, 5, 2]",<class 'list'>,<class 'int'>,4
100,"[0, 8, 8, 0, 8, 1, 12, 10, 5, 10, 6]",<class 'list'>,<class 'int'>,11
101,"[6, 12, 5, 6, 11, 3, 6, 6, 11, 10, 2]",<class 'list'>,<class 'int'>,11
102,"[8, 0, 3, 11, 5, 3, 12, 6, 8, 10, 3, 2, 4, 7]",<class 'list'>,<class 'int'>,14
103,"[9, 9, 13, 8, 4, 5, 10, 3, 11, 10, 9]",<class 'list'>,<class 'int'>,11
104,"[4, 1, 8, 3, 12, 2, 3, 8]",<class 'list'>,<class 'int'>,8
105,"[8, 6, 8]",<class 'list'>,<class 'int'>,3
106,"[7, 3, 4, 12, 12, 6]",<class 'list'>,<class 'int'>,6
107,"[10, 14, 12, 8, 1, 13, 7]",<class 'list'>,<class 'int'>,7
108,"[11, 13, 9, 5, 3, 10, 7, 5, 2, 9, 14, 2, 11]",<class 'list'>,<class 'int'>,13
109,"[14, 11, 1, 2, 2, 10, 14, 2, 7]",<class 'list'>,<class 'int'>,9
110,"[2, 7, 8]",<class 'list'>,<class 'int'>,3
111,"[3, 2, 11, 11, 4, 4]",<class 'list'>,<class 'int'>,6
112,"[5, 11, 2, 2, 7, 7, 0, 4, 14, 6, 13, 3, 11, 0]",<class 'list'>,<class 'int'>,14
113,"[11, 1, 12, 13, 8, 10, 7, 3, 8, 2]",<class 'list'>,<class 'int'>,10
114,"[10, 9, 10, 0, 8, 2, 12, 6]",<class 'list'>,<class 'int'>,8
115,"[5, 7, 0]",<class 'list'>,<class 'int'>,3
116,"[12, 9, 5, 8, 11, 5, 13, 3, 5, 11, 5, 5]",<class 'list'>,<class 'int'>,12
117,"[6, 9, 8, 13, 9, 5, 9, 8, 14, 4, 2, 13, 14]",<class 'list'>,<class 'int'>,13
118,"[14, 1, 2, 11, 3, 11, 5]",<class 'list'>,<class 'int'>,7
119,"[7, 6, 14, 12, 13, 7, 4, 7, 12, 11, 1, 11, 5]",<class 'list'>,<class 'int'>,13
120,"[8, 11, 4, 8, 6, 14, 5, 9]",<class 'list'>,<class 'int'>,8
121,"[5, 13, 10, 9]",<class 'list'>,<class 'int'>,4
122,"[5, 8, 8, 7, 12, 0, 9, 1, 4, 10, 7]",<class 'list'>,<class 'int'>,11
123,"[8, 13, 10, 7]",<class 'list'>,<class 'int'>,4
124,"[5, 12, 2, 14, 11, 2, 0, 0, 14, 13]",<class 'list'>,<class 'int'>,10
125,"[7, 13, 1, 3, 12, 13, 11, 6, 8, 11, 10, 10]",<class 'list'>,<class 'int'>,12
126,"[9, 14, 0, 7, 4]",<class 'list'>,<class 'int'>,5
127,"[13, 5, 4, 6, 14, 1, 10, 2, 3, 9]",<class 'list'>,<class 'int'>,10
128,"[12, 1, 13, 11, 7, 6, 2, 8, 13, 11, 9, 0, 3]",<class 'list'>,<class 'int'>,13
129,"[1, 10, 2, 5, 8, 14, 1]",<class 'list'>,<class 'int'>,7
130,"[7, 14, 9, 8, 11, 3, 6, 6, 7]",<class 'list'>,<class 'int'>,9
131,"[9, 2, 1, 1, 8, 9, 6, 8, 7, 9, 2]",<class 'list'>,<class 'int'>,11
132,"[5, 2, 6, 1, 9, 10, 13, 10, 1, 13]",<class 'list'>,<class 'int'>,10
133,"[12, 5, 3, 11, 0, 8, 13, 9, 3, 6, 2, 4, 12, 11]",<class 'list'>,<class 'int'>,14
134,"[10, 14, 5, 8, 7]",<class 'list'>,<class 'int'>,5
135,"[5, 3, 8, 5, 12]",<class 'list'>,<class 'int'>,5
136,"[3, 10, 12, 4, 2, 5, 5, 0, 5]",<class 'list'>,<class 'int'>,9
137,"[8, 11, 5, 14, 0]",<class 'list'>,<class 'int'>,5
138,"[3, 14, 0, 2, 11, 9]",<class 'list'>,<class 'int'>,6
139,"[14, 9, 12, 2, 7, 10, 9]",<class 'list'>,<class 'int'>,7
140,"[9, 5, 1, 5, 2, 3, 11, 5, 10, 13, 5]",<class 'list'>,<class 'int'>,11
141,"[2, 5, 5, 8, 7, 1, 13]",<class 'list'>,<class 'int'>,7
142,"[4, 1, 8, 0, 0]",<class 'list'>,<class 'int'>,5
143,"[12, 4, 5]",<class 'list'>,<class 'int'>,3
144,"[0, 11, 3, 0, 12, 10, 13]",<class 'list'>,<class 'int'>,7
145,"[3, 12, 3, 10, 7, 9, 14, 4]",<class 'list'>,<class 'int'>,8
146,"[4, 11, 12, 11]",<class 'list'>,<class 'int'>,4
147,"[0, 2, 9, 4]",<class 'list'>,<class 'int'>,4
148,"[4, 10, 6, 10, 1, 10, 2, 0, 10, 12]",<class 'list'>,<class 'int'>,10
149,"[13, 14, 2, 0, 3, 10, 12, 9, 1, 4, 8, 4]",<class 'list'>,<class 'int'>,12
150,"[4, 1, 4, 7, 14]",<class 'list'>,<class 'int'>,5
151,"[10, 5, 10, 4, 13, 1, 5, 2, 6, 5, 4, 3, 10, 4]",<class 'list'>,<class 'int'>,14
152,"[2, 12, 10, 0, 5, 10, 12, 10, 6, 8, 14, 4, 4]",<class 'list'>,<class 'int'>,13
153,"[6, 1, 1, 14, 13, 1, 0]",<class 'list'>,<class 'int'>,7
154,"[3, 0, 14, 9, 10, 12]",<class 'list'>,<class 'int'>,6
155,"[3, 9, 7, 11, 7, 12, 9, 14, 10, 2, 2]",<class 'list'>,<class 'int'>,11
156,"[12, 12, 1]",<class 'list'>,<class 'int'>,3
157,"[1, 11, 9, 6, 13, 7, 1, 11, 1]",<class 'list'>,<class 'int'>,9
158,"[8, 5, 10, 9, 14, 6, 11, 14, 8, 12, 6, 10, 3, 7]",<class 'list'>,<class 'int'>,14
159,"[1, 1, 6, 9, 14, 6]",<class 'list'>,<class 'int'>,6
160,"[14, 13, 5, 9, 14, 6, 5, 10, 1]",<class 'list'>,<class 'int'>,9
161,"[3, 1, 6, 6]",<class 'list'>,<class 'int'>,4
162,"[12, 3, 8, 11, 2, 1, 1, 14, 7]",<class 'list'>,<class 'int'>,9
163,"[0, 12, 13, 2]",<class 'list'>,<class 'int'>,4
164,"[0, 2, 3, 7, 13, 6, 10, 12, 7, 12, 5]",<class 'list'>,<class 'int'>,11
165,"[0, 14, 12, 14, 13, 5, 3, 10]",<class 'list'>,<class 'int'>,8
166,"[13, 12, 12, 4, 11, 7, 3, 3, 2, 8, 5, 8, 12]",<class 'list'>,<class 'int'>,13
167,"[13, 4, 9, 3, 1, 2, 4, 3, 13, 14, 5, 8, 5, 9]",<class 'list'>,<class 'int'>,14
168,"[3, 13, 4, 7, 1, 7]",<class 'list'>,<class 'int'>,6
169,"[11, 6, 13]",<class 'list'>,<class 'int'>,3
170,"[13, 12, 13, 0, 0, 3, 12]",<class 'list'>,<class 'int'>,7
171,"[11, 13, 14, 4, 10, 1, 11, 0, 6, 9, 14, 2]",<class 'list'>,<class 'int'>,12
172,"[1, 0, 13, 10, 6, 5, 5]",<class 'list'>,<class 'int'>,7
173,"[9, 2, 10, 10, 4, 12, 5, 13, 9, 6]",<class 'list'>,<class 'int'>,10
174,"[4, 9, 4, 7, 14, 6, 4, 11, 14, 11, 0, 0]",<class 'list'>,<class 'int'>,12
175,"[12, 2, 2, 13, 13, 3]",<class 'list'>,<class 'int'>,6
176,"[3, 8, 9, 12, 1, 7, 0, 5, 3, 6, 1, 13, 6]",<class 'list'>,<class 'int'>,13
177,"[1, 3, 0, 1, 1, 7, 8, 3, 0, 9, 8, 10]",<class 'list'>,<class 'int'>,12
178,"[4, 6, 0, 8, 5, 4]",<class 'list'>,<class 'int'>,6
179,"[10, 12, 9, 2, 5, 10, 12, 12, 13, 4, 5]",<class 'list'>,<class 'int'>,11
180,"[14, 1, 14, 3, 9, 0, 9, 13, 8, 9, 1]",<class 'list'>,<class 'int'>,11
181,"[0, 10, 4]",<class 'list'>,<class 'int'>,3
182,"[10, 3, 6, 2, 2]",<class 'list'>,<class 'int'>,5
183,"[7, 3, 10, 3, 1, 2, 14, 10, 7, 14]",<class 'list'>,<class 'int'>,10
184,"[2, 10, 2]",<class 'list'>,<class 'int'>,3
185,"[8, 5, 0, 11]",<class 'list'>,<class 'int'>,4
186,"[4, 1, 6, 14, 8, 6]",<class 'list'>,<class 'int'>,6
187,"[9, 1, 10]",<class 'list'>,<class 'int'>,3
188,"[7, 3, 4]",<class 'list'>,<class 'int'>,3
189,"[4, 11, 5, 14, 7, 7, 13]",<class 'list'>,<class 'int'>,7
190,"[8, 3, 0, 10, 6, 12]",<class 'list'>,<class 'int'>,6
191,"[7, 1, 9, 11, 13, 9, 13, 6, 12, 8, 1, 9, 12, 4]",<class 'list'>,<class 'int'>,14
192,"[0, 4, 3, 4, 9, 6]",<class 'list'>,<class 'int'>,6
193,"[3, 10, 12, 9]",<class 'list'>,<class 'int'>,4
194,"[10, 4, 5, 3]",<class 'list'>,<class 'int'>,4
195,"[11, 11, 8, 5, 5, 4, 6, 0, 3, 10, 1, 2]",<class 'list'>,<class 'int'>,12
196,"[2, 5, 5, 2, 0, 10, 11]",<class 'list'>,<class 'int'>,7
197,"[10, 9, 4, 13, 14]",<class 'list'>,<class 'int'>,5
198,"[1, 5, 12, 4, 3, 7, 1, 1, 12, 3, 12]",<class 'list'>,<class 'int'>,11
199,"[0, 1, 0, 6, 3, 5, 0]",<class 'list'>,<class 'int'>,7
200,"[7, 6, 3, 12, 4, 6, 3, 14, 3, 9, 10, 9, 13, 14]",<class 'list'>,<class 'int'>,14
201,"[9, 14, 0, 1, 7]",<class 'list'>,<class 'int'>,5
202,"[5, 3, 1, 11, 3, 7, 5]",<class 'list'>,<class 'int'>,7
203,"[2, 10, 7, 4, 9]",<class 'list'>,<class 'int'>,5
204,"[4, 1, 11, 14, 10]",<class 'list'>,<class 'int'>,5
205,"[11, 7, 2, 13, 9, 8, 1, 5, 12, 9, 2, 10, 3]",<class 'list'>,<class 'int'>,13
206,"[8, 5, 6, 3, 14, 3]",<class 'list'>,<class 'int'>,6
207,"[1, 10, 6]",<class 'list'>,<class 'int'>,3
208,"[14, 2, 14, 8, 4, 8, 9, 6, 10, 2, 14, 10]",<class 'list'>,<class 'int'>,12
209,"[4, 9, 11, 5, 12]",<class 'list'>,<class 'int'>,5
210,"[6, 3, 3, 3, 0, 7, 8, 14, 14, 1]",<class 'list'>,<class 'int'>,10
211,"[14, 13, 12, 4]",<class 'list'>,<class 'int'>,4
212,"[4, 14, 2, 3, 2, 0, 9, 9, 0, 1, 6, 12, 13, 10]",<class 'list'>,<class 'int'>,14
213,"[8, 14, 7, 6, 1, 0]",<class 'list'>,<class 'int'>,6
214,"[3, 3, 12, 13, 7]",<class 'list'>,<class 'int'>,5
215,"[4, 3, 10, 11, 2, 6]",<class 'list'>,<class 'int'>,6
216,"[11, 8, 8, 10, 9, 0, 5, 3, 10, 4, 5, 10, 10]",<class 'list'>,<class 'int'>,13
217,"[11, 13, 14, 6, 11, 7, 5]",<class 'list'>,<class 'int'>,7
218,"[6, 14, 10, 1, 3, 3, 3, 13, 10]",<class 'list'>,<class 'int'>,9
219,"[2, 13, 7, 2, 10, 3, 7, 10, 11, 0, 0, 14, 14, 6]",<class 'list'>,<class 'int'>,14
220,"[11, 4, 10, 13, 0, 3, 1, 5, 9, 6]",<class 'list'>,<class 'int'>,10
221,"[0, 12, 10]",<class 'list'>,<class 'int'>,3
222,"[12, 2, 14, 1, 14, 9, 2, 3, 1, 0, 10, 6, 2]",<class 'list'>,<class 'int'>,13
223,"[1, 13, 13, 10, 6, 2, 11, 3, 10, 7, 4]",<class 'list'>,<class 'int'>,11
224,"[12, 11, 10, 7, 9, 9, 6, 8, 12, 8, 12, 8]",<class 'list'>,<class 'int'>,12
225,"[11, 0, 2, 9, 2, 7, 11, 10]",<class 'list'>,<class 'int'>,8
226,"[10, 9, 4, 13, 13, 13, 9, 2, 7, 11, 3, 14, 5]",<class 'list'>,<class 'int'>,13
227,"[0, 2, 13, 11, 4, 0, 13, 1]",<class 'list'>,<class 'int'>,8
228,"[10, 0, 12, 14]",<class 'list'>,<class 'int'>,4
229,"[2, 14, 7, 2, 1, 12, 3, 10, 4, 7, 10, 10, 13]",<class 'list'>,<class 'int'>,13
230,"[11, 4, 13, 7, 9, 2, 5, 5, 13]",<class 'list'>,<class 'int'>,9
231,"[5, 0, 3, 3]",<class 'list'>,<class 'int'>,4
232,"[3, 8, 7, 14, 14, 11, 4, 2, 8, 6, 7, 5, 10]",<class 'list'>,<class 'int'>,13
233,"[9, 2, 12, 9, 7, 8, 12, 11, 12, 12, 7]",<class 'list'>,<class 'int'>,11
234,"[1, 7, 9, 0, 4, 5, 12]",<class 'list'>,<class 'int'>,7
235,"[9, 12, 14, 1, 0, 5, 2, 3, 12]",<class 'list'>,<class 'int'>,9
236,"[7, 0, 9, 9, 11, 0, 14, 2]",<class 'list'>,<class 'int'>,8
237,"[2, 8, 0, 14, 0, 5]",<class 'list'>,<class 'int'>,6
238,"[7, 3, 4, 4, 1, 13]",<class 'list'>,<class 'int'>,6
239,"[5, 0, 14, 11, 12, 4]",<class 'list'>,<class 'int'>,6
240,"[5, 10, 7, 0, 12, 13]",<class 'list'>,<class 'int'>,6
241,"[1, 0, 12, 13, 11]",<class 'list'>,<class 'int'>,5
242,"[14, 12, 0, 14, 6, 14, 7, 7, 6, 7, 7, 14, 4, 6]",<class 'list'>,<class 'int'>,14
243,"[5, 12, 12, 8, 9, 11, 5, 14, 13, 4, 11]",<class 'list'>,<class 'int'>,11
244,"[9, 13, 10, 7, 4, 10, 14, 5]",<class 'list'>,<class 'int'>,8
245,"[5, 0, 5, 2, 0, 9, 4, 9, 12, 0, 10, 7, 8, 4]",<class 'list'>,<class 'int'>,14
246,"[14, 0, 1]",<class 'list'>,<class 'int'>,3
247,"[1, 9, 13, 12]",<class 'list'>,<class 'int'>,4
248,"[14, 9, 0, 3, 0, 12, 2, 9, 10, 12, 6]",<class 'list'>,<class 'int'>,11
249,"[14, 2, 3]",<class 'list'>,<class 'int'>,3
250,"[7, 7, 5, 14, 0, 10, 1]",<class 'list'>,<class 'int'>,7
251,"[5, 2, 9, 13, 9, 8, 7, 14, 13, 8, 12, 1]",<class 'list'>,<class 'int'>,12
252,"[2, 11, 2, 7, 1, 1, 11, 10]",<class 'list'>,<class 'int'>,8
253,"[13, 10, 14, 2, 7, 7, 6, 14, 6, 8]",<class 'list'>,<class 'int'>,10
254,"[8, 4, 6, 10, 14, 6]",<class 'list'>,<class 'int'>,6
255,"[12, 9, 11, 5, 14, 9, 12, 9]",<class 'list'>,<class 'int'>,8
256,"[12, 4, 2, 13, 13, 3, 4, 14, 8, 2, 10, 4, 3]",<class 'list'>,<class 'int'>,13
257,"[6, 8, 0, 5, 1, 5, 12, 8, 4, 7, 3, 6]",<class 'list'>,<class 'int'>,12
258,"[6, 5, 6, 11, 0, 8, 8, 1, 3, 12, 0, 8, 5, 4]",<class 'list'>,<class 'int'>,14
259,"[11, 8, 6, 5, 9, 1, 0, 0, 9, 14, 1]",<class 'list'>,<class 'int'>,11
260,"[5, 5, 11, 6, 12, 5, 4, 7, 6, 8, 14, 12]",<class 'list'>,<class 'int'>,12
261,"[7, 11, 8, 10, 7, 8, 0, 5, 4, 8, 11]",<class 'list'>,<class 'int'>,11
262,"[11, 11, 13, 12, 9, 3, 7]",<class 'list'>,<class 'int'>,7
263,"[14, 12, 2, 3, 4, 6, 10, 6]",<class 'list'>,<class 'int'>,8
264,"[5, 6, 9, 14, 2, 10, 7, 9, 6, 8, 6]",<class 'list'>,<class 'int'>,11
265,"[11, 13, 2, 1, 8, 13, 13, 5, 9, 10, 8, 1]",<class 'list'>,<class 'int'>,12
266,"[6, 4, 9, 4]",<class 'list'>,<class 'int'>,4
267,"[7, 14, 0, 1, 1, 12, 0, 7, 5]",<class 'list'>,<class 'int'>,9
268,"[9, 8, 13, 9, 4, 1, 12, 8, 1, 0]",<class 'list'>,<class 'int'>,10
269,"[2, 9, 3, 4, 12, 13, 9, 13, 2]",<class 'list'>,<class 'int'>,9
270,"[12, 10, 4, 2, 10, 8]",<class 'list'>,<class 'int'>,6
271,"[1, 13, 4, 10, 12, 1, 4, 2, 6, 2, 11]",<class 'list'>,<class 'int'>,11
272,"[1, 14, 13]",<class 'list'>,<class 'int'>,3
273,"[12, 2, 7]",<class 'list'>,<class 'int'>,3
274,"[8, 6, 4, 7, 10, 0]",<class 'list'>,<class 'int'>,6
275,"[9, 1, 11, 0, 10, 3, 10, 11, 9, 13, 12, 0]",<class 'list'>,<class 'int'>,12
276,"[9, 13, 14, 10, 2]",<class 'list'>,<class 'int'>,5
277,"[0, 7, 2, 12, 13, 1, 7, 9, 14]",<class 'list'>,<class 'int'>,9
278,"[0, 5, 2, 4, 1, 6, 2]",<class 'list'>,<class 'int'>,7
279,"[14, 9, 12, 14, 13, 5, 8, 3, 9, 4]",<class 'list'>,<class 'int'>,10
280,"[13, 5, 6, 11, 6, 11, 14]",<class 'list'>,<class 'int'>,7
281,"[14, 13, 7, 9, 12, 3, 1, 0, 9]",<class 'list'>,<class 'int'>,9
282,"[14, 9, 0, 6, 13, 13, 3, 0, 10, 11]",<class 'list'>,<class 'int'>,10
283,"[2, 5, 8, 1, 12, 3]",<class 'list'>,<class 'int'>,6
284,"[7, 12, 0, 13, 11, 1, 7, 8, 8, 2]",<class 'list'>,<class 'int'>,10
285,"[0, 10, 5, 1, 3, 5, 13]",<class 'list'>,<class 'int'>,7
286,"[12, 4, 1]",<class 'list'>,<class 'int'>,3
287,"[14, 4, 5, 13, 13, 10, 0, 10, 9, 6, 8, 7]",<class 'list'>,<class 'int'>,12
288,"[13, 0, 10, 8, 7, 13, 12, 14]",<class 'list'>,<class 'int'>,8
289,"[2, 5, 13, 10, 1, 7, 3, 5, 1, 13, 13, 9, 7, 3]",<class 'list'>,<class 'int'>,14
290,"[11, 3, 13, 2, 10, 0, 11, 4, 12, 4, 3]",<class 'list'>,<class 'int'>,11
291,"[12, 12, 5, 4, 7, 1, 10, 13, 14, 4, 3, 7, 8, 3]",<class 'list'>,<class 'int'>,14
292,"[6, 9, 9, 14, 12, 5]",<class 'list'>,<class 'int'>,6
293,"[3, 9, 2]",<class 'list'>,<class 'int'>,3
294,"[13, 14, 1, 14, 11, 14, 6, 13, 7, 10]",<class 'list'>,<class 'int'>,10
295,"[8, 4, 9, 7, 3, 2, 11, 14]",<class 'list'>,<class 'int'>,8
